ClauseLikeUnit(CLU)-value,Regularity,Negation,CLUcomposite-value,CLUwithinCLU-value,CLUcomplex-value,LitTransl-value,FreeTransl-value,Duration,N-function-value,N-manual-value,N-nonmanual-value,N-position-value,HeadNegationStudy-value,CA-value,MouthGestF-value,Mouthing-value,MouthingNegation-value,NegSingleClausesMouthing-negator,RH-IDgloss-value,LH-IDgloss-value
LN23M33WDC_CLU#066,Regular,Negated clause,Single,NA,NA,(no) wallpaper nothing?,Are you planning just to paint the walls and not to put up any wallpaper?,1030,Neg/interrogative,Single,Present,other,HS,NA,NA,"wallpaper, nothing",Single,nothing,"WALL, NO",WALL
LN23M33WDC_CLU#090,Irregular,Negated clause,Single,NA,NA,like (ceiling) up-there (me) not-like up-there (ceiling),"No, it's a common practice where if one doesn't like his ceiling, rather than to plaster over it. ",2230,Neg/declarative,Single,Present,other,"NHS, HS",NA,EXPRESSION,like,Absent,Absent,"SAME, PT:LOC, LIKE-NOT, PT:LOC","SAME, PT:LOC"
LN23M33WDC_CLU#091,Regular,Negated clause,Single,NA,NA,plaster-over (ceiling not possible/didn't work) well,"No, it's a common practice where if one doesn't like his ceiling, rather than to plaster over it. ",1710,Neg/declarative,Single,Present,post-predicate (non-reprise),"NHS, HS",CA:SIGNER,PRESSED-LIPS,plas(ter),Absent,Absent,"G:CA:PLASTER-WALL/DSH(GRIP)-MOVE, G:WELL","G:CA:HOLD-HAND-OUT, G:WELL"
LN23M33WDC_CLU#104,Regular,Negated clause,Single,NA,NA,(yes) mean plaster-over try improve-fix (no it didn't work),My other friend had inspected it and spotted that the other plasterer had tried to cover up bad quality but cannot get the desired effect. ,2640,Neg/response,Single,Present,post-predicate (non-reprise & clause-final),"Nod1, NHS, HS",CA:SIGNER,NA,"mean, try",Absent,Absent,"PT:PRO3SG, MEANING, G:CA:PLASTER-CEILING/DSH(FIST)-MOVE, TRY, INDECIPHERABLE, G:WELL","MEANING, FBUOY, TRY, INDECIPHERABLE, G:WELL"
LN23M33WDC_CLU#113,Regular,Negated clause,Single,NA,NA,"(me) finished (my) bedroom me finished me? (me no, not finished) well",Have I finished my bedroom? I'm nowhere near!,2115,Neg/response,Absent,Present,NA,"NHS, HS",NA,NA,"finish, bed, room, finish",Absent,Absent,"FINISH, SLEEP03, PT:PRO1SG, FINISH, PT:PRO1SG, INDECIPHERABLE, G:WELL",NA
LN23M33WDC_CLU#117,Irregular,Negated clause,Single,NA,NA,last-two two nights me not-yet wake-up once not-yet,I've not woken in the middle of the night for the last two nights.,2910,Neg/reprise,Multiple,Present,reprise (clause-final),"NHS, HS",NA,"SYLL:SHH, SYLL:SHH","two, night, I, up, once",Absent,Absent,"PT:LOC, PT:LOC, TWO, NIGHT, PT:PRO1SG, NOT-YET, WAKE, ONCE, NOT-YET",NA
LN23M33WDC_CLU#123,Regular,Constituent negation,Single,NA,NA,me pay-them (with) no interest me,While I pay off without any interest!,1910,NA,Single,Present,post-predicate (non-reprise),"NHS, HS, NHS",NA,NA,"pay, no, interest",Single,N/A,"PT:PRO1SG, RENT, NOT, FS:I-INTEREST, PT:PRO1SG","NOT, FS:I-INTEREST"
LN23M33WDC_CLU#125,Regular,Negated clause,Single,NA,NA,(but) him-there Ronny well now (not) working nothing/Ronny not-have work,Ronny is currently still unemployed.,2475,Neg/declarative,Single,Present,post-predicate (non-reprise & clause-final),"NHS, HS",NA,NA,"Ron, now, work, nothing, nothing-prog",Single,nothing,"PT:PRO3SG, SN:RONNY, G:WELL, NOW, WORK, NOTHING, G:WELL","G:WELL, NOW, WORK, NOTHING, G:WELL"
LN23M33WDC_CLU#135,Irregular,Negated clause,Depend,NA,dependent,(but) me not-know where go,I've taken the day off work for Friday so that we can go out together but I still don't know where we will go. ,910,Neg/declarative,Single,Present,other,HS,NA,NA,"but, don't know, where, go",Single,N/A,"PT:PRO1SG, KNOW-NOT, WHERE, GO02, G:WELL",NA
LN23M33WDC_CLU#137,Irregular,Negated clause,Single,NA,NA,me not-know (what we do),"No, we both want to do something but we don't know what.",590,Neg/declarative,Single,Present,other,NHS,NA,NA,don't (know),Single,don't,"PT:PRO1SG, KNOW-NOT ",KNOW-NOT 
