ClauseLikeUnit(CLU)-value,Regularity,Negation,CLUcomposite-value,CLUwithinCLU-value,CLUcomplex-value,LitTransl-value,FreeTransl-value,Duration,N-function-value,N-manual-value,N-nonmanual-value,N-position-value,HeadNegationStudy-value,CA-value,MouthGestF-value,Mouthing-value,MouthingNegation-value,NegSingleClausesMouthing-negator,RH-IDgloss-value,LH-IDgloss-value
MC01M18WHC_CLU#035,Regular,Negated clause,Single,NA,NA,second pub not good,The second pub wasn't good.,1910,Neg/response,Single,Present,post-predicate (non-reprise & clause-final),"NHS, HS1, NHS",NA,NA,"second, pub, not, good",Single,not,"PT:LBUOY, DRINK, NOT, GOOD","LBUOY, LBUOY-TWO, LBUOY-THREE02"
MC01M18WHC_CLU#038,Regular,Negated clause,Single,NA,NA,and (me) not-familiar who (they are),"I didn't know them, I didn't know any of them, but I started to make friends. ",1430,Neg/declarative,Single,Present,other,HS,NA,PRESSED-LIPS,"and, me, who",Absent,Absent,"WHY/AND, PT:PRO1SG, UNFAMILIAR, WHO",WHY/AND
MC01M18WHC_CLU#040,Regular,Negated clause,Single,NA,NA,(me) not-know who they-are,"I didn't know them, I didn't know any of them, but I started to make friends. ",1020,Neg/declarative,Single,Present,other,"HS, NHS",CA:SIGNER,PRESSED-LIPS,who,Absent,Absent,"UNFAMILIAR, WHO, PT:PRO3PL","UNFAMILIAR, WHO, PT:PRO3PL"
MC01M18WHC_CLU#048,Regular,Negated clause,Single,NA,NA,(me) not-know who (that) person ,I didn't recognise the person. ,1630,Neg/declarative,Single,Present,other,"HS, NHS",CA:SIGNER,PRESSED-LIPS,"who, person",Absent,Absent,FBUOY,"UNFAMILIAR, WHO, PERSON"
MC01M18WHC_CLU#066,Regular,Negated clause,Single,NA,NA,(me) feel not-remember not-place-her-face nothing,I looked and said I was sorry I couldn't remember him. ,1427,Neg/declarative,Multiple,Present,post-predicate (non-reprise & clause-final),HS,CA:SIGNER,PRESSED-LIPS ,"feel, can't (re)member",Single,can't,NA,"FEEL, REMEMBER, UNFAMILIAR, NOTHING"
MC01M18WHC_CLU#079,Regular,Constituent negation,Single,NA,NA,nah (me didn't throw up)/nah (it wasn't that bad),"No, but that was the best night I've had. ",410,Neg/response,Single,Present,other,HS,NA,PRESSED-LIPS,NA,Absent,N/A,NO,NA
MC01M18WHC_CLU#081,Regular,Constituent negation,Single,NA,NA,"(no not really, I don't know her)","No not really, I don't know her",880,NA,Absent,Present,NA,HS,NA,NA,not really,Single,N/A, G(NMS):NO,NA
MC01M18WHC_CLU#087,Regular,Negated clause,Single,NA,NA,(no) never heard me/(I've) not heard (of it) me,Never heard of it. ,800,Neg/response,Single,Present,pre-predicate,HS,NA,NA,"never, heard",Single,never,NA,"NEVER, HEAR, PT:PRO1SG"
MC01M18WHC_CLU#089,Regular,Negated clause,Single,NA,NA,(no me) never heard,Never heard.,560,Neg/response,Single,Present,pre-predicate,HS,NA,NA,"never, heard",Single,never,NA,"NEVER, HEAR"
MC01M18WHC_CLU#093,Regular,Negated clause,Embed,NA,NA,(can't) move paralysed,Feeling like you can't move. ,1070,Neg/declarative,Absent,Present,NA,"HS, NHS",CA:SIGNER,NA,can't move,Single,N/A,"MOVE, G:CA:PARALYSED",G:CA:PARALYSED
MC01M18WHC_CLU#096,Irregular,Negated clause,Single,NA,NA,(me) don't-know/know-nothing,Don't know - like your brain was empty! ,430,Neg/declarative,Single,Present,other,HS,NA,NA,don't know,Single,don't,KNOW-NOT,KNOW-NOT
MC01M18WHC_CLU#100,Irregular,Negated clause,Single,NA,NA,me won't do that,I won't do that.,910,Neg/declarative,Single,Present,pre-predicate,HS,NA,NA,"I, won't, do, that",Single,won't,"PT:PRO1SG, WILL-NOT, MAKE, PT:DET","WILL-NOT, MAKE"
MC01M18WHC_CLU#104,Regular,Negated clause,SharedCecho,NA,NA,(you) didn't throw-up?,You didn't throw up?,880,Neg/interrogative,Single,Present,post-predicate (non-reprise & clause-final),NHS,NA,PRESSED-LIPS,NA,Absent,N/A,"THROW-UP, NOTHING",NA
MC01M18WHC_CLU#113,Regular,Negated clause,EmbedEmbed,pre-container,NA,me never forget,"I'll never forget that when I was younger, I downed a shot of Aftershock in one go. ",760,Neg/declarative,Single,Present,pre-predicate,"HS, NHS",NA,NA,"me, never, forget",Single,N/A,"PT:PRO1SG, NEVER, FORGET",NEVER
MC01M18WHC_CLU#117,Irregular,Negated clause,Single,NA,NA,me not-know what (it was),It was just there; I didn't know what it was so I drank it! ,1000,Neg/declarative,Single,Present,other,HS,NA,NA,"me, don't know, what",Single,don't,"PT:PRO1SG, KNOW-NOT, WHAT",NA
MC01M18WHC_CLU#133,Regular,Negated clause,Depend?,NA,dependent,"but not like, not get-together much","We don't get together much, only at weekends.  ",2390,Neg/declarative,Multiple,Present,other,"NHS, HS",NA,PRESSED-LIPS,"but, not so much",Single,N/A,"PT:LBUOY, PT:, NOTHING, SAME/TOGETHER02, MANY","LBUOY-TWO02, LBUOY-THREE02, SAME/TOGETHER02, MANY"
MC01M18WHC_CLU#145,Irregular,Negated clause,Single,NA,NA,(for) me well we didn't-know,I didn't know.,1670,Neg/declarative,Single,Present,other,HS,NA,PRESSED-LIPS,for,Absent,Absent,"PT:PRO1SG, PT:PRO3SG, PT:PRO1SG, KNOW-NOT",KNOW-NOT
MC02F22WDC_CLU#008,Regular,Constituent negation,SharedCecho,NA,NA,"(no, me don't know)",I don't know,1332,NA,Absent,Present,NA,HS,NA,PRESSED-LIPS,NA,Absent,N/A,G(NMS):NO,NA
MC02F22WDC_CLU#045,Irregular,Negated clause,Single,NA,NA,them-there (me) don't-know theirs what (they drink) me,"I bought my drink - I don't know what the others had, whatever. ",1910,Neg/declarative,Single,Present,other,NHS,NA,PRESSED-LIPS ,NA,Absent,Absent,"PT:PRO3PL, KNOW-NOT, PT:POSS3SG, WHAT, PT:PRO1SG","KNOW-NOT, WHAT"
MC02F22WDC_CLU#047,?,Negated clause,Single,NA,NA,not-bad drink not-bad,"It wasn't a bad drink, not bad. ",1870,Neg/declarative,Multiple,Present,reprise (clause-final),HS,NA,NA,"not bad, drink, not bad",Multiple,Multiple,"BAD-NOT, DRINK, BAD-NOT","BAD-NOT, BAD-NOT"
MC02F22WDC_CLU#073,Regular,Negated clause,Single,NA,NA,pub you (don't know it)?,You don't know it? ,1670,Neg/response,Absent,Present,NA,HS,NA,PRESSED-LIPS,pub,Absent,Absent,"PUB02, PT:DET",PUB02
MC02F22WDC_CLU#085,Regular,Negated clause,EmbedEmbed,contained+pre-container,NA,me not need,I told her she didn't need to look after me because I was perfectly capable! ,750,Neg/declarative,Single,Present,pre-predicate,HS,CD:SIGNER,NA,"me, don't/not, need",Single,N/A,"PT:PRO1SG, NOT, WANT",NOT
MC02F22WDC_CLU#089,Regular,Constituent negation,Embed,contained,NA,no!,"She said, ""No, I want to check to make sure you're alright; I don't want anything to happen."" ",270,NA,Absent,Present,NA,HS,CD:SIGNER'S-FRIEND-LUCY,NA,no,Single,N/A,PT:,NA
MC02F22WDC_CLU#092,Regular,Negated clause,Single,NA,NA,"(me) don't-want anything-to-happen (to you)!/""(me) don't-know (what might) happen""","She said, ""No, I want to check to make sure you're alright; I don't want anything to happen."" ",1190,Neg/declarative,Single,Absent,NA,NHS,CD:SIGNER'S-FRIEND-LUCY,NA,"don't want, happen",Single,don't,"WANT, HAPPEN, G:WELL","HAPPEN, G:WELL"
MC02F22WDC_CLU#126,Regular,Constituent negation,Embed,contained,NA,no come-on,"I really just wanted to stay, but she said no. ",350,NA,Single,Present,other,"HS1, NHS",CD:SIGNER'S-FRIEND-LUCY,NA,"no, come on",Single,N/A,"REFUSE, FROM-TO",NA
MC02F22WDC_CLU#143,Regular,Negated clause,Single,NA,NA,(we) didn't talk/no talking,We didn't talk at all. ,710,Neg/declarative,Single,Present,pre-predicate,NHS,CA:SIGNER-AND-FRIEND,NA,"nothing, talk",Single,nothing,"NOTHING, TALK","NOTHING, TALK"
MC02F22WDC_CLU#164,Regular,Negated clause,Single,NA,NA,me didn't throw-up me didn't throw-up/throw-up-nothing me-throw-up nothing,I didn't throw up at all. ,2240,Neg/reprise,Multiple,Present,reprise (clause-final),HS,NA,"PRESSED-LIPS, PRESSED-LIPS",NA,Absent,Absent,"THROW-UP, NOTHING, PT:PRO1SG, THROW-UP, NOTHING","NOTHING, NOTHING"
MC09M68WHC_CLU#006,Regular,Constituent negation,Single,NA,NA,no (we travel by) open-air bus,"No, I travelled up on an open air bus, which was great. ",390,NA,Single,Present,other,HS,NA,NA,no,Single,N/A,NO,NA
MC09M68WHC_CLU#011,Regular,Constituent negation,Single,NA,NA,no Barcelona football stadium,"No, the popular football stadium in Barcelona. ",635,NA,Single,Present,other,HS,NA,NA,no,Single,N/A,NO,NA
MC09M68WHC_CLU#017,Regular,Constituent negation,Single,NA,NA,no (me went to) Barcelona me,I went to Barcelona. ,1310,NA,Absent,Present,NA,"HS, NHS",NA,NA,"no, barcelona, barcelona-prog",Single,N/A,"PT:PRO1SG, FS:B-INDECIPHERABLE, PT:PRO1SG",FS:B-INDECIPHERABLE
MC09M68WHC_CLU#026,Regular,Constituent negation,Single,NA,NA,(oh) no problem (taking bus),"Oh, it was no problem.",614,NA,Single,Present,other,HS,NA,PRESSED-LIPS,problem,Absent,N/A,"NOTHING, HARD","NOTHING, HARD"
MC09M68WHC_CLU#050,Regular,Negated clause,Single,NA,NA,(not) too hot (no),"It was beautifully sunny, but not too hot and it didn't rain at all, so we could stroll around happily. ",752,Neg/response,Absent,Present,NA,"NHS, HS",NA,PRESSED-LIPS,"too, hot",Absent,Absent,"FS:T-TOO, HOT, G(NMS):NO",FS:T-TOO
MC09M68WHC_CLU#053,Regular,Negated clause,Single,NA,NA,rain (or) dull (sky)? nothing (it was not raining or dull sky),"It was beautifully sunny, but not too hot and it didn't rain at all, so we could stroll around happily. ",1671,Neg/response,Single,Present,post-predicate (non-reprise & clause-final),"NHS, HS1",NA,PRESSED-LIPS,"rain, dull",Absent,Absent,"FS:D-DULL(FALSE-START), RAIN, FS:DULL, NOTHING","FS:D-DULL(FALSE-START), RAIN, FS:DULL, NOTHING"
MC09M68WHC_CLU#058,Regular,Negated clause,Depend?,NA,independent,women no (not allowed to join/not interested to join),"I'd like to go there again in the future, but only with men who are interested in history, not with women. ",723,Neg/imperative,Single,Present,other,"NHS, HS",NA,PRESSED-LIPS,women,Absent,N/A,"GIRL, NOT/NO",NA
MC09M68WHC_CLU#110,Regular,Negated clause,Single,NA,NA,you never there?,"Madrid was good, but the Deaf club - have you been there? ",753,Neg/interrogative,Single,Present,other,HS,NA,NA,never,Single,never,"NEVER, PT:PRO2SG, PT:LOC/PT:PRO3SG",NA
MC09M68WHC_CLU#135,Regular,Constituent negation,Single,NA,NA,draught no draught (available),"They didn't have anything on draught, so I asked for a bottle instead, which was really cheap, only 1 Euro! ",1475,NA,Single,Present,other,HS,CA:SIGNER,NA,"draught, no, draught",Single,N/A,NOTHING,"PUB, NOTHING, PUB"
MC09M68WHC_CLU#147,Regular,Constituent negation,Single,NA,NA,"(me say) ""no!""","We signed differently - not incorrectly - they signed ""man"" by flattening the hand and pulling it away from the forehead, while we signed it by pulling away from the chin instead.  ",351,NA,Single,Present,other,HS,CD:SIGNER,NA,no,Single,N/A,NA,NO
MC09M68WHC_CLU#153,Regular,Negated clause,Single,NA,NA,(and not) them/they (don't sign the same),"They signed ""woman"" by outlining a breast with a cupped hand, while we signed it by stroking a cheek with the index finger, and so on. ",264,Neg/declarative,Absent,Present,NA,HS,NA,ACTION:SMILING,NA,Absent,Absent,PT:PRO3SG,NA
MC10M69WHC_CLU#010,Regular,Constituent negation,Single,NA,NA,"you -- no, Benidorm up-there-to...","No, Benidorm to -",2157,NA,Absent,Present,NA,"NHS, HS, NHS",NA,NA,"you, benidorm, to",Absent,N/A,"G(NMS):NO, SN:BENIDORM, PT:LOC","PT:PRO2SG, SN:BENIDORM, PT:LOC"
MC10M69WHC_CLU#013,Regular,Constituent negation,Single,NA,NA,(no) me different,"No, I went to Benidorm. ",919,NA,Absent,Present,NA,HS,NA,NA,"no, different",Single,N/A,"PT:PRO1SG, DIFFERENT",NA
MC10M69WHC_CLU#042,?,Negated clause?,Single,NA,NA,me (it was) not-bad,"We had a great time walking around and it didn't rain until we were due to drive home, so that wasn't too bad.  ",752,Neg/declarative,Single,Absent,other,NHS,NA,NA,(not b)ad,Single,N/A,"PT:PRO1SG, BAD-NOT",NA
MC10M69WHC_CLU#054,Regular,Negated clause,Single,NA,NA,me excited? not-at-all me,"I thought it was a poor game that wasn't very exciting to watch, although they won! ",1759,Neg/response,Single,Present,post-predicate (non-reprise),"NHS, HS",NA,PRESSED-LIPS ,NA,Absent,Absent,"PT:PRO3SG, EXCITED, WITHOUT, PT:PRO1SG",EXCITED
MC10M69WHC_CLU#059,Irregular,Negated clause,Depend?,NA,dependent,(but they) cannot pass-through cannot,I don't know how they scored five goals because they didn't score in the first half and didn't seem to be able to penetrate the defence. ,1105,Neg/imperative,Multiple,Present,reprise (clause-final),NHS,NA,NA,"can't, through, can't",Multiple,N/A,"CAN-NOT, GOAL02, CAN-NOT",DSEW(HORNS)-BE
MC10M69WHC_CLU#061,Regular,Negated clause,Single,NA,NA,England (during) first half score not-hot (didn't score in first half),I don't know how they scored five goals because they didn't score in the first half and didn't seem to be able to penetrate the defence. ,1719,Neg/response,Single,Present,post-predicate (non-reprise & clause-final),"NHS, HS",NA,PRESSED-LIPS,"England, first, half",Absent,Absent,"ENGLAND, RANKING, HALF, GOAL02, HOT03","ENGLAND, HALF, GOAL02"
MC10M69WHC_CLU#062,Regular,Negated clause,Single,NA,NA,(England) do-attack nothing (they didn't attack at all),I don't know how they scored five goals because they didn't score in the first half and didn't seem to be able to penetrate the defence. ,1386,Neg/response,Single,Present,post-predicate (non-reprise & clause-final),"NHS, HS",NA,SYLL:THH,nothing,Single,nothing,"ATTACK02/DSEW(5-HORI)-MOVE, NOTHING",DSEW(HORN)-BE
MC10M69WHC_CLU#064,Irregular,Negated clause,Embed,post-container,NA,(me) not-know me,I don't know how they scored five goals because they didn't score in the first half and didn't seem to be able to penetrate the defence. ,548,Neg/response,Single,Present,other,NHS,NA,PRESSED-LIPS,NA,Absent,N/A,"KNOW-NOT, PT:PRO1SG",KNOW-NOT
MC10M69WHC_CLU#071,Regular,Negated clause,Single,NA,NA,(there was) no damage nothing there no?,It wasn't damaged?,1925,Neg/interrogative,Multiple,Present,reprise (clause-final),HS,NA,PRESSED-LIPS,"not, damage",Single,not,"NOTHING, DAMAGE, NOTHING, PT:LOC, NOTHING",DAMAGE
MC10M69WHC_CLU#073,Regular,Constituent negation,Single,NA,NA,"but how? they (have) no darts, or snooker, or swimming nothing","But they didn't have any darts, snooker or dominoes... oh, they did have table tennis. ",3987,NA,Multiple,Present,other,"NHS, HS?",NA,NA,"no, dart, snooker, swim pool, no",Multiple,N/A,"NOTHING, PT:PRO3SG, DARTS, PLUS, SNOOKER, SWIM, NOTHING","PT:PRO3PL, PLUS, SNOOKER, SWIM, NOTHING"
MC10M69WHC_CLU#082,Regular,Constituent negation,Single,NA,NA,"no tables, very-few","It was a strange pub with hardly any tables, only one or two little ones. ",1904,NA,Single,Present,other,"HS, NHS, HS",NA,PRESSED-LIPS,"no, table",Single,N/A,"NOTHING, DESK","DESK, RARE"
MC10M69WHC_CLU#086,Regular,Negated clause,Single,NA,NA,me-holding-drink me holding-drink me (can't sign with two hands),We had to stick our drinks under our arms so that we could sign! ,1505,Neg/declarative,Absent,Present,NA,HS1,CA:SIGNER,PRESSED-LIPS,can't,Single,can't,"G:CA:HOLD-DRINK/DSH(SPHERE)-BE, PT:PRO1SG, G:CA:HOLD-DRINK/DSH(SPHERE)-BE, PT:PRO1SG, G:CA:HOLD-DRINK/DSH(SPHERE)-BE",NA
MC10M69WHC_CLU#105,?,Negated clause,Embed,contained,NA,American fingerspelling (is) not-good,I told her I thought it looked bad and they shouldn't sign with one hand. ,1221,Neg/response,Single,Present,other,"NHS, HS",CAD:SIGNER,NA,"spell, not good",Single,N/A,"AMERICA, G:CA:FINGERSPELL, NOT-GOOD",AMERICA
MC10M69WHC_CLU#135,?,Negated clause,EmbedDepend,contained,independent,"British sign not good look-at-you!/""British sign not-good!"" (while) pointing-at-MC10",The Americans said British people shouldn't sign like that because we got wet patches on our clothes. ,2469,Neg/response,Single,Present,post-predicate (non-reprise),"NHS, HS",CD:ASL-SIGNERS,NA,"British, sign, not good",Single,N/A,"ENGLAND, SIGN, NOT-GOOD, PT:PRO3SG","ENGLAND, SIGN"
MC10M69WHC_CLU#137,?,Negated clause,Single,NA,NA,(wet patch is) not good,The Americans said British people shouldn't sign like that because we got wet patches on our clothes. ,429,Neg/response,Single,Present,other,HS1,CD:ASL-SIGNERS,NA,not good,Single,not,NOT-GOOD,NA
MC21F67WHNC_CLU#061,Regular,Negated clause,Single,NA,NA,"(it said) not over night (no) only, only...","When I read the Mr Muscle bottle, it said you weren't to leave it overnight. ",3670,Neg/declarative,Single,Present,other,HS,NA,NA,"not, over, night, only",Single,not,"NO, COVER, NIGHT, ONLY, ONLY","NO, COVER, NIGHT, ONLY, ONLY"
MC21F67WHNC_CLU#145,Regular,Negated clause ,Single,NA,NA,me never expect that television (no)/me never expect that (about) television (no),I didn't expect one about television though. ,2628,Neg/declarative,Single,Present,other,"NHS, HS",NA,NA,"but, didn't?, television, no",Single,Multiple?,"PT:PRO1SG, PT:, NEVER/CLEAR, EXPECT/PT:POSS1SG, PT:DET, TELEVISION, G(NMS):NO","NEVER/CLEAR, TELEVISION"
MC21F67WHNC_CLU#150,Irregular,Negated clause?,Single?,NA,NA,(but) me cannot understand it,My sister (??) said she'd come over one day to spend more time on it. ,1272,Neg/declarative,Single,Present,pre-predicate,HS1,NA,NA,"me, can't, (under)stand",Absent,N/A,"PT:PRO1SG, CAN-NOT, UNDERSTAND, FS:IT(T)","UNDERSTAND, FS:IT(T)"
MC21F67WHNC_CLU#152,Regular,Constituent negation,Single,NA,NA,last (time she) came (to me there was) not-much time,Because there wasn't much time last time she came.,2430,NA,Absent,Present,NA,"NHS, HS, Nod",NA,NA,"the last, time, not much, time",Single,N/A,"PT:LOC, FROM-TO, SOME, TIME","SOME, TIME"
"MC21F67WHNC_CLU#155, MC21F67WHNC_CLU#156",Irregular,Negated clause ,EmbedEmbed,"pre-container, contained+pre-container",NA,"(I don't think) that, (we'll be) able (to)",She said she doesn't think the television's going to be able to pick up the video. ,2029,Neg/declarative,Absent,Present,NA,HS,"CD:SIGNER'S-SISTER, CD:SIGNER'S-SISTER",NA,"i don't think, we'll be able to",Single,N/A,"PT:DET/PT:PRO3SG, CAN",NA
MC22F67WHNC_CLU#001,Irregular,Negated clause,Single,NA,NA,me not-yet (packed for holiday),I haven't yet.,1000,Neg/response,Single,Present,other,NHS,NA,NA,"ooh, not yet",Single,not,"PT:PRO1SG, NOT-YET","PT:PRO1SG, NOT-YET"
MC22F67WHNC_CLU#014,Regular,Constituent negation,Single,NA,NA,"well, no...(I'm fine)",I'm fine.,1720,NA,Single,Present,other,HS,NA,PRESSED-LIPS,NA,Absent,N/A,NO,G:WELL
MC22F67WHNC_CLU#073,Regular,Constituent negation,Single,NA,NA,me Oldham here (have) nothing!,You're lucky because there hasn't been one here in Oldham. ,1390,NA,Single,Absent,post-predicate (non-reprise),NHS,NA,PRESSED-LIPS,Oldham,Absent,N/A,"PT:PRO1SG, SN:OLDHAM(OLD^FS:H-HAM), PT:LOC, NOTHING","SN:OLDHAM(OLD^FS:H-HAM), NOTHING"
MC22F67WHNC_CLU#075,?,Negated clause,Single,NA,NA,deaf (people) not-understand lot-of-them,Lots of Deaf people don't understand.,3080,Neg/declarative,Single,Present,other,HS,NA,PRESSED-LIPS,"deaf, a lot",Absent,Absent,"ADD-TO-SIGNBANK(DEAF-AND-DUMBb), NOT-UNDERSTAND, MANY","NOT-UNDERSTAND, MANY"
MC22F67WHNC_CLU#076,Regular,Negated clause,Single,NA,NA,me (I'm not!),I'm not!,920,Neg/response,Absent,Present,NA,HS,NA,NA,i'm not,Single,not,PT:PRO1SG,NA
MC22F67WHNC_CLU#079,Regular,Constituent negation,Single,NA,NA,(but well I don't know...),But not the second bedroom. ,998,NA,Absent,Present,NA,HS,NA,NA,NA,Absent,N/A,G(NMS):NO,NA
MC22F67WHNC_CLU#092,Irregular,Negated clause,Depend?,NA,dependent,(but me) seen-it not-yet!,I want to try but I haven't seen it yet. ,3390,Neg/declarative,Single,Present,post-predicate (non-reprise & clause-final),"NHS, HS",NA,NA,"but I've seen it, yet",Absent,N/A,"LOOK02, NOT-YET","LOOK02, NOT-YET"
MC22F67WHNC_CLU#093,?,Negated clause,Single,NA,NA,well deaf (people) also not-understand,"Well, Deaf people don't understand either.",3320,Neg/declarative,Single,Present,other,"HS, NHS",NA,PRESSED-LIPS,"well, deaf, same",Absent,Absent,"G:WELL, ADD-TO-SIGNBANK(DEAF-AND-DUMBb), SAME, NOT-UNDERSTAND","G:WELL, SAME, NOT-UNDERSTAND"
MC22F67WHNC_CLU#097,Regular,Negated clause,Single,NA,NA,me (not) going me (no I'm not going),I'm not going.,1840,Neg/response,Absent,Present,NA,HS,NA,NA,"i'm not, going, no i'm not going",Multiple,Multiple,"PT:PRO1SG, GO, PT:PRO1SG",NA
MC22F67WHNC_CLU#098,Regular,Negated clause,Single,NA,NA,me (not) going me no,"No, I'm not going.",1610,Neg/response,Single,Present,post-predicate (non-reprise & clause-final),HS,NA,NA,"me I'm, not going, no",Multiple,Multiple,"PT:PRO1SG, GO, PT:PRO1SG, NO",NA
MC22F67WHNC_CLU#104,Regular,Negated clause,SharedCecho,NA,NA,"me (no, not going uphill)",Not me.,650,Neg/response,Absent,Present,NA,HS,NA,NA,me no,Single,N/A,PT:PRO1SG,NA
MC22F67WHNC_CLU#108,Irregular,Negated clause,Single,NA,NA,(oh) some (people) cannot go-up-high,"Oh, he can't be up high.",1760,Neg/declarative,Single,Present,other,"Nod, HS ",NA,NA,"some, can't",Single,can't,"INDECIPHERABLE, SOME, CAN-NOT , TALL02",NA
MC22F67WHNC_CLU#109,Regular,Negated clause,Single,NA,NA,(it's) not suitable (for him),It's unsuitable for him because it's too high. ,1210,Neg/response,Single,Present,other,Nod,NA,NA,"not, suitable",Single,not,"NOT, AGREE",AGREE
MC22F67WHNC_CLU#111,Irregular,Negated clause,Single,NA,NA,(we) finished not-yet?,Have we finished yet?,960,Neg/interrogative,Single,Present,post-predicate (non-reprise & clause-final),NHS,NA,NA,"finish, yet",Absent,Absent,"FINISH, NOT-YET",NA
MC22F67WHNC_CLU#126,Regular,Constituent negation?,Single,NA,NA,(no) me wrong (not) Portugal,I was wrong.,1280,NA,Absent,Present,NA,HS,NA,NA,"wrong, Portugal",Absent,N/A,"BAD, MISTAKE, PT:PRO1SG, PORTUGAL",NA
MC22F67WHNC_CLU#130,Irregular,Negated clause,DependEmbed?,NA,dependent,but/because our Julie cannot stand (the) sun,Julie can't stand the sun.,2990,Neg/declarative,Single,Present,pre-predicate,NHS,NA,NA,"but, our, Julie, can't, stand, sun",Single,N/A,"PT:/BUT, PT:POSS1SG, FS:J-INDECIPHERABLE, CAN-NOT, STAND, SUN","PT:/BUT, FS:J-INDECIPHERABLE, STAND"
MC22F67WHNC_CLU#133,Irregular,Negated clause,Depend,NA,independent,(she) cannot stand (the) sun,She can't stand the sun.,1120,Neg/declarative,Single,Present,pre-predicate,HS,NA,NA,"can't, stand, sun",Single,N/A,"CAN-NOT, STAND, SUN",STAND
MC22F67WHNC_CLU#135,Regular,Negated clause,Single,NA,NA,(but) she (does) not (enjoy sunbathing),But she doesn't.,850,Neg/declarative,Single,Present,other,HS,NA,NA,"but she, does not",Single,not,"PT:PRO3SG, NOT",NA
MC22F67WHNC_CLU#136,Regular,Negated clause,Single,NA,NA,she (does) not (enjoy sunbathing) she,She's not.,840,Neg/declarative,Single,Present,other,HS,NA,NA,"she, does not",Single,not,"PT:PRO3SG, NOT, PT:PRO3SG",NA
MC22F67WHNC_CLU#137,Regular,Negated clause,Single,NA,NA,(me don't know whereabouts),I don't know whereabouts,1409,Neg/response,Absent,Present,NA,HS,NA,NA,I don't know whereabouts,Single,don't,G(NMS):NO,NA
MC22F67WHNC_CLU#149,Regular,Negated clause,Single,NA,NA,she-- not bothered (about) the baby?,She's not bothered about the baby?,2510,Neg/interrogative,Single,Present,pre-predicate,"HS, NHS",NA,NA,"not, bothered, about, baby",Single,not,"CHILD, WITHOUT, PROBLEM, PT:DET, BABY","PROBLEM, BABY"
MC22F67WHNC_CLU#159,Irregular,Negated clause,Single,NA,NA,hey me paint (nails) not-yet [checks nails as body groom action not communicative action] not-yet,I haven't painted mine yet. ,2640,Neg/declarative,Multiple,Present,reprise (clause-final),"HS, NHS",NA,NA,"not yet, not yet",Multiple,Multiple,"G:HEY, PT:PRO1SG, PAINT, NOT-YET, XXG:CA:LOOK-AT-NAILS, NOT-YET","PAINT, NOT-YET, XXG:CA:LOOK-AT-NAILS, NOT-YET"
MC22F67WHNC_CLU#167,Regular,Constituent negation,Single,NA,NA,"no, same me hospital foot-in-wax?",Not like the one in the hospital. ,2470,NA,Single,Present,other,"HS,  ",NA,NA,"no, like, hospital",Single,N/A,"NO, SAME, PT:POSS1SG, BANDAGE, ?G:CA:LOWER-HAND/DSEW(FLAT)-MOVE","SAME, BANDAGE, PT:BODY-WRIST"
MC22F67WHNC_CLU#168,Regular,Negated clause,Single,NA,NA,(no) not that (one okay),Not like the one in the hospital. ,1230,Neg/response,Single,Present,other,HS,NA,NA,no not,Multiple,Multiple,"NO, PT:DET",NA
MC22F67WHNC_CLU#182,?,Negated clause,Single,NA,NA,(no me) cannot (be) bothered me!,"No, I can't be bothered.",2332,Neg/response,Single,Present,other,"HS, NHS",NA,NA,"no, can't, be bothered",Multiple,Multiple,"G(NMS):NO, WITHOUT, PROBLEM/PROBLEM-NOT, PT:PRO1SG",NA
MC22F67WHNC_CLU#184,?,Negated clause,Single,NA,NA,(oh that's) not-bad!,"Oh, not bad!",600,Neg/response,Single,Present,other,NHS,NA,NA,not bad,Single,not,BAD-NOT,NA
MC23M54WHC_CLU#019,Regular,Constituent negation,Single,NA,NA,my day no mobile-phones/texting,There weren't any mobile phones when I left school.,1192,NA,Single,Present,other,NHS,NA,NA,"UNSURE, UNSURE, no, text",Single,N/A,"PT:PRO1SG, ?DAY, NOTHING, MOBILE-PHONE",?DAY
MC23M54WHC_CLU#037,Irregular,Negated clause,Single,NA,NA,(no) not-yet,Not yet.,439,Neg/response,Single,Present,other,HS,NA,NA,not yet,Single,not,NOT-YET,NOT-YET
MC23M54WHC_CLU#059,Regular,Constituent negation,Single,NA,NA,plenty swimming (pool) there not far,"The hotel was nice, with a swimming pool, and wasn't far from the beach. ",1554,NA,Absent,Present,NA,NHS,NA,NA,"plenty, swim(ming), pool, not far",Single,N/A,"PLENTY, SWIM, PT:LOC/PT:PRO3SG, FROM-TO, G:WELL","SWIM, G:WELL"
MC23M54WHC_CLU#060,Regular,Constituent negation,Single,NA,NA,beach (was) not-far good,"The hotel was nice, with a swimming pool, and wasn't far from the beach. ",1075,NA,Absent,Present,NA,NHS,NA,NA,"beach, not far",Single,N/A,"BEACH, FROM-TO, GOOD",BEACH
MC23M54WHC_CLU#062,Irregular,Negated clause,Single,NA,NA,me not-yet book holiday not-yet this (year),I haven't booked this year's holiday yet.,1682,Neg/declarative,Multiple,Present,reprise (non-clause-final),NHS,NA,NA,"me, not yet, book, holiday, not yet, this year",Multiple,Multiple,"PT:PRO1SG, NOT-YET, BOOKED, HOLIDAY03, NOT-YET, PT:LOC","NOT-YET, BOOKED, HOLIDAY03, NOT-YET"
